Agency Name,Agency Abbreviation
1 Day At A Time,1DAAT
2ndChanceProject,2ndChanceProject
180 Degrees,180 Degrees
925 Studios LLC,925 Studios
A Place for You,A Place for You
Accend Services Inc,Accend
Accord,Accord
Aeon,Aeon
Affinity Caregiver LLC,Affinity Caregiver
Affinity Residential Care LLC,Affinity Care
Affirmation House,Affirmation House
Agate Housing and Services,Agate
Ain Dah Yung,ADY
"Alliance Housing, Inc.",Alliance Housing
Allos Ministries,Allos Ministries
Alluma,Alluma
"Ally Supportive Services, LLC",Ally
American Indian Community Development Corporation,AICDC
American Indian Community Housing Organization,AICHO
American Indian Family Center,AIFC
Amherst H. Wilder Foundation,AHWF
Animikiikaa LLC,Animikiikaa
Anishinaabe Endaad LLC,Anishinaabe Endaad
Anoka County Human Services,ACHS
Arrowhead Economic Opportunity Agency,AEOA
Avenues for Homeless Youth,Avenues for Youth
Avivo,Avivo
Beacon Interfaith Housing Collaborative,Beacon
Benton County Human Services,Benton County
Bethlehem Inn of Waseca,Bethlehem Inn
"Bi-County Community Action Programs, Inc.",BICAP
Blue Earth County Human Services,Blue Earth Co
Bob Tavani House for Medical Respite,Bob Tavani House
Bois Forte Human Services,Bois Forte
Bridge for Youth,Bridge
Bridges of Hope,Bridges
Brightwater Health,HDC
Canvas Health,Canvas
"Care and Share of Crookston, Inc.",Care and Share
Carver County CDA,Carver CDA
Carver County Health and Human Services,CCHHS
Catholic Charities of Southern Minnesota,Catholic Charities SE MN
Catholic Charities of St. Cloud,CC St. Cloud
Catholic Charities Twin Cities,CCSPM
"Cenneidigh, Inc.",Cenneidigh
Center City Housing Corporation,CCHC
Center for African Immigrants and Refugee Organization,CAIRO
Central Minnesota Community Empowerment Organization,CMCEO
Central Minnesota Housing Partnership,CMHP
Central Minnesota Mental Health Center,CMMHC
Churches United,CU
Churches United in Ministry,CHUM
"City of Minneapolis, Community Development and Economic Planning",City of Minneapolis
City of Saint Paul - Department of Safety and Inspection,STPSI
Clare Housing,Clare Hsg
Clay County HRA,Clay Co HRA
CommonBond Communities,CommonBond
Community Action Center of Northfield,CAC Northfield
Community Action Partnership of Hennepin County,CAPHC
Community Action Partnership of Ramsey and Washington Counties,CAPRW
CommUNITY Adult Mental Health Initiative,CAMHI
"Community Mediation & Restorative Services, Inc.",CMRS
Community Stabilization Project,Community Stabilization Project
Comunidades Latinas Unidas En Servicio,CLUES
Connections Ministry,Connections Ministry
Connections to Independence,C2i
Continuum Care Center,Continuum Care Center
"Cornerstone Home Health Care, Inc",CHHC
Credent Care,Credent Care
Crow Wing County Community Services,Crow Wing
Dakota County Community Development Agency,Dakota County CDA
Dakota County Community Services,DCCS
Dakota Woodlands,Dakota Woodlands
Dale Street Place,Dale Street Place
Divine Konnections,Divine Konnections
Drew Shaine LLC,Drew Shaine LLC
East African Housing Services,East African Housing Services
Ecumen,Ecumen
Edith's House Inc.,Edith's House
Emma Norton Services,Emma Norton
Evergreen Youth and Family Services, Evergreen
"Face to Face Health and Counseling Service, Inc.",F2F
Family Promise in Anoka County,Family Promise Anoka
Family Promise Rochester,Family Promise Rochester
Family Rise Together,Family Rise Together
Fawkes Housing Services LLC,Fawkes Housing Services
First Lutheran Church of Detroit Lakes,FLC
Fond du Lac Band of Lake Superior Chippewa,FDL
Foundations Housing Support LLC,Foundations Housing Support
Frazier Recovery Homes,Frazier
Frontier Living LLC,Frontier Living
Gaia Democratic School,Gaia
Goodhue County Health & Human Services,Goodhue County HHS
Grace House of Itasca County,Grace House
Grand Portage Human Services,Grand Portage HS
Greater Minneapolis Council of Churches,GMCC
Greater Minnesota Community Services,GMCS
Greenhouse Recovery Center,Greenhouse
"Guild, Inc.",Guild
"Handy Help, LLC",Handy Help
Haven Housing,Haven Housing
Hearth Connection,Hearth Conn
Helix Health and Housing Services,Helix
Hennepin County,Hennepin
Hennepin Healthcare,Hennepin Healthcare
Hiawatha Valley Mental Health Center,HVMHC
High School for the Recording Arts,HSRA
Higher Works Collaborative,Higher Works Collaborative
Hmong American Partnership,HAP
Homeless Helping Homeless,Homeless Helping Homeless
"HOPE 4 Youth, Inc.",H4Y
Hope Avenue Twin Cities,Hope Ave
"Hospitality House of Owatonna, Inc.",Hospitality House
House of Sanctuary,House of Sanctuary
Housing and Redevelopment Authority of Bemidji,HRA of Bemidji
"Housing and Redevelopment Authority of Stearns County, Minnesota",Stearns County HRA
"Housing Connections, LLC",Housing Connections
Housing Horizons,Housing Horizons
Housing Matters,Housing Matters
Independent Management Services of Minnesota,IMS
Indian Neighborhood Club,Indian Neighborhood Club
Indigenous Peoples Task Force,IPTF
Inter-County Community Council,ICCC
Interfaith Action of Greater St. Paul,Interfaith Action
Interfaith Outreach and Community Partners,IOCP
Isuroon,Isuroon
Jeremiah Program,Jeremiah Program
Jewish Family and Children's Service of Minneapolis,JFCS
Kandiyohi County HRA,Kandiyohi HRA
Kanerva Consulting LLC,Kanerva Consulting LLC
KOOTASCA Community Action,KOOTASCA
Lakes and Pines Community Action Council,Lakes & Pines
Lakes and Prairies Community Action Partnership,CAPLP
Leech Lake Band of Ojibwe,Leech Lake Band
Leech Lake Band of Ojibwe Housing Authority,Leech Lake Housing
Legal Aid Service of NE MN,LASNEM
Life House,Life House
Listening House of St Paul,Listening House
Lower Sioux Indian Housing Authority,Lower Sioux
Lutheran Social Service of Minnesota,LSS
Mahube-Otwa Community Action Partnership,Mahube Community Council (Mahube)
Mankato Economic Development Authority,Mankato EDA
Maverick Unified Services LLC,Maverick
