org_name,last_updated,neighborhood,address,latitude,longitude,site_updates,currently_open_for_receiving,opening_for_receiving,closing_for_receiving,currently_open_for_distributing,opening_for_distributing,closing_for_distributing,urgent_need,accepting,not_accepting,seeking_volunteers,seeking_translators,hot_meals,legal_support,covid_testing,pet_vaccination_health,pet_food,housing_support,food_delivery,wheelchair_accessible,elder,youth,baby_toddler,immigration_naturalization,eye_exams,dental,transportation_vouchers,clothing,insurance_not_needed,refugee_services,vaccinations_general,mental_health_services,healing_resources,art_resources,community_service,education,lgbtqia_supportive,qtibpoc_supportive,trans_supportive,black_run,indigenous_owned,community_run,spanish_speaking,somali_speaking,karen_speaking,memorial_space,medic_on_site,protest,seeking_money,seeking_money_url,delivery_only,distribution_to_residents_only,restricted_distribution,produce,household_supplies,needle_exchange,warming_site,no_id_needed,some_info_required,by_appointment,black_own,indigenous_run,public_transit,COVID_Vaccination
38th and Chicago - George Floyd Square,5/29/2022 6:51pm,Central,"3726 Chicago Ave, Minneapolis, MN 55407",44.9349370,-93.2634391,"Needs change very often.  Best option to contribute: use the wishlist at https://www.amazon.com/hz/wishlist/ls/HBG9XS6Q8371

You can also stop by the square to get involved!

Groceries distributed every Saturday from 12:00pm to 3:00pm by Worldwide Outreach for Christ Ministries at 3808 Chicago Ave.

Informational links:
- Significance of the space: tinyurl.com/ydy76smj
- Map of memorial site: tinyurl.com/y8autpbf",no,----,,no,----,,,"For ongoing needs, see the George Floyd Square Donation Drive wishlist at: https://www.amazon.com/hz/wishlist/ls/HBG9XS6Q8371?ref_=wl_share",,"If you're interested in volunteering, please go to GFS and speak with someone there in person.

Significance of the space: https://tinyurl.com/ydy76smj ",,,,,,,,,checked,,checked,,,,,,checked,,,,,checked,checked,,,,,,checked,,checked,,,,checked,checked,,,,,,,,,,,checked,,,,,5-BUS-(1 block),
Al-Maa'uun,4/11/2023 11:03pm,Near North,"1729 Lyndale Ave N, Minneapolis MN 55411",44.9972387,-93.2883463,"Supply drop off Monday - Friday: 10am - 2pm by appointment only. 

To make an appointment call 612-326-5851 if you'd like to volunteer to deliver items.

Winter Coat Giveaway: https://docs.google.com/forms/d/e/1FAIpQLSeEyxGvUy-eVoMC5XJchiZmQyFZ8BrBI2fNMDFAfX5rxFMHiw/viewform 

Al-Maa'uun provides delivery of cooked halal meals for seniors (60+) and disabled adults to North Minneapolis households as a Meals on Wheels provider. Those in need can sign up at https://www.FeedNorthMpls.org, call the Need Food hotline at 612-326-5851, or email needfood@almaauun.org. 

The building is not open to the public. Distribution is coordinated ahead of time and done by appointment. Groceries and household goods available for pick up by appointment.",no,----,,no,----,,,,,"(as of 4/11)
Yes, learn more here: https://almaauun.org/volunteer/
Mentor Program application: https://alm-mentor.paperform.co/",,,,,,,checked,checked,,,,checked,,,,,,,,,,,,,,checked,,checked,checked,,,checked,,,,,,checked,https://almaauun.org/donate/,checked,,,,checked,,,checked,,checked,checked,,"22-BUS-(1 block),14-BUS-(3 blocks),30-BUS-(3 blocks)",
Aliveness Project,8/30/2023 12:25pm,King Field,"3808 Nicollet Ave, Minneapolis, MN 55409",44.9338587,-93.2783842,"Donations are accepted year round: 
Monday, Wednesday, and Friday from 11:00am-3:00pm.

Anyone living with HIV is warmly welcomed to become a member of The Aliveness Project at no cost. Member benefits include meal programs, mental health support, nutrition therapy, housing support and case management, activities and more.  Apply online: https://aliveness.org/member-services/#member-benefits  

Free HIV tests: call (612) 822-7946 to schedule
Monday-Friday: 9 am– 3:30 pm

Hot, dine-in lunch is available:
Monday-Friday: 12:00pm-2:00pm

To-go meals are available whenever the building is open:
Monday-Friday: 9:00am-4:00pm

Food shelf appointments are available for members. Appointments are required (call 612-822-7946 to schedule). 
Monday: 9:00am-4:30pm
Tuesday: 9:00am-4:30pm
Wednesday: 9:00am-4:30pm
Thursday: 9:00am-4:30pm
Friday: 9:00am-3:30pm",no,----,,no,----,,,"Fruits
- Fresh
- Canned (packed in their own juice)
- Dried
- Fruit cups
- 100% fruit juice (not frozen)

Vegetables
- Fresh
- Canned*
- Spaghetti or tomato sauce
- 100% vegetable juice

Grains
- Whole grain/wheat pasta, cereal, tortialls, and crackers
- Oatmeal
- Granola
- Rice cakes
- Quinoa

Protein
- Canned tuna or salmon (in water)
- Canned chicken
- Nuts (almonds, walnuts, cashews)
- Peanut butter and nut butters
- Canned beans*
- Canned stew and chili*

Other
- Seasonings without salt
- Whole leaf herbs
- Olive oil
- Non-stick cooking spray
- Salsa
- Hearty/chunky soup*
- Coffee
- Tea
- Powdered or canned milk
- Ensure or Boost nutritional supplements

Hygiene Items
- Toilet paper
- Facial tissue
- Bath soap
- Shampoo & conditioner
- Deodorant
- Feminine Care items
- Laundry soap
- Bleach
- Toothpaste & toothbrush
- Mouthwash
- Disposable razor
- Hand lotion

*Low sodium or no salt added

Winter Wear (all sizes accepted but men’s sizes are most needed)
- Gloves/Mittens (waterproof)
- Hats
- Scarves
- Socks (wool)

When donating food, please consider low sodium items or sugar free items to comply with our Healthy Foods Policy: https://aliveness.org/wp-content/uploads/2018/03/AP-Healthy-Food-Policy-_updated-3-1-18_.pdf .",,"Yes, find volunteering info at https://aliveness.org/volunteering/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://aliveness.org/donate/#donate-form,,,checked,,,,,,,,,,"18-BUS-(1 block),23-BUS-(1 block)",
All God's Children Metro Community Church- Mainline Syringe Exchange,1/4/2023 11:32am,Central,"3100 Park Ave, Minneapolis, MN 55407",44.9463740,-93.2656710,"HIV and Hepatitis C testing, syringes, naloxone, syphilis testing

Mainline is collecting hygiene products, as well as monetary donations for our clients.

Hours (accepting + distributing donations): 
Mondays 2pm - 5pm
Tuesdays 10am - 1pm
No Wednesdays
Thursdays: 2pm - 5pm
Fridays: 10am - 1pm
(This site has constant need and will be active for the foreseeable future)
If you're unable to make it in time please call 651-359-3459. 
Find more information on Facebook: https://www.facebook.com/JustUsHealthMAINLINE/ 
https://www.justushealth.org/mainline 
 
Supplies are limited availability; primary distribution is for established clients.",no,----,,no,----,,,"Deodorant, oral hygiene products (toothbrushes, toothpaste, etc), soap, shampoo/conditioner, lotion, sunscreen, tampons/pads, masks and hand sanitizer. Travel-size items preferred. ",,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,checked,,,checked,,,,,,,"5-BUS-(2 blocks),21-BUS-(2 blocks)",
Anoka County Brotherhood Closet Food Shelf (ACBC) •••By Appointment Only•••,3/6/2023 11:10am,NW Suburbs,"2615 9th Ave S, Anoka, MN 55303",45.2054693,-93.3734986,"Hours for Distribution -APPOINTMENT ONLY-
Make an appointment up to 48 hours in advance at https://acbcfoodshelf.timetap.com/
Monday/Wednesday 10am-3pm
Tuesday 12pm-5pm
Thursday 2pm-7pm
(Closed any day Anoka-Hennepin school district cancels due to weather)

Accepting Donations
Mondays through Thursdays, 9:00am - 3:00pm
or call 763.422.0046 to schedule a drop-off.

Anoka County Brotherhood Council Food Shelf distributes food and clothing. Residents of Anoka, Andover, Champlin, Coon Rapids, Nowthen, and Ramsey may visit once per calendar month. Residents experiencing homelessness may visit once per week instead of once per month. More information is available at https://www.acbcfoodshelf.com/. 

The Outreach Delivery program serves homebound individuals in the community who are unable to go into the community to access groceries. Please contact Jay Carlson to discuss eligibility requirements and program availability.  He can be reached at 763-422-0046 or jay@acbcfoodshelf.org. ",no,----,,no,----,,,"Nonperishable foods
Sheets
Blankets
Comforters
Towels
Washcloths
Curtains
Tents
Sleeping Bags
Canned tuna/chicken
Cereal
Pasta & rice (whole grain preferred)
Peanut butter
Flour, oil, sugar
Condiments, baking ingredients, spices
Personal hygiene items- shampoo, toilet paper, menstrual products, toothbrushes, toothpaste, body soap
Baby food
Baby diapers- in most need of sizes 5 and 6 
Seasonal clothing (beginning June 2021)","Household items, due to capacity","Yes, find volunteering info at https://www.acbcfoodshelf.com/volunteer-2/",,,,,,,,checked,,,,checked,,,,,checked,,,,,,,,,,,,,,,,,,,,,checked,https://www.acbcfoodshelf.com/monetary-donations/,,,checked,,,,,,,checked,,,805-BUS-(1 block),
Youthprise: Arlington Hills Community Center,6/5/2024 7:54pm,Payne-Phalen,"1200 Payne Ave, St Paul, MN 55130",44.9770673,-93.0729606,"Free suppers and snacks for Saint Paul youth (18 and under) at the Arlington Hills Community Center! (https://youthprise.org/nutritionprogram/)

Snack:
Monday-Friday: 3:00-3:30 pm
Hot Supper: 
Monday-Thursday: 5:00-5:30 pm

Through a partnership with Youthprise, free suppers and snacks are available at the Arlington Hills Community Center for youth 18 years of age and under. Schedules are subject to change based on programming needs.",no,----,,no,----,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,64-BUS-(1 block),
ARTS Us,9/13/2023 11:11am,Union Park,"1221 Marshall Ave, St Paul, MN 55104",44.9492578,-93.1522078,"Free snacks for Saint Paul youth (18 and under) at the Rice Recreation Center!

Monday-Friday: 4:30-5:30pm

Through a partnership with Youthprise, free suppers and snacks are available for youth 18 years of age and under. Schedules are subject to change based on programming needs.",no,----,,no,----,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://www.mightycause.com/organization/Arts-Us,,,,,,,,checked,,,,,21-BUS-(2 blocks),
Food in the Hood: Beacon of Hope Church,11/8/2023 10:42am,Jordan,"2827 Newton Ave North, Minneapolis, MN  55411",45.0094712,-93.3060224,"The food pantry is open for distribution, 
2nd and 4th Thursday: 5pm-7pm.
(note: during November and December holiday season we only host the food program on the 2nd Thursday of the month)

Everyone is welcome, no appointment necessary. Participants are provided with a week's worth of groceries.",no,----,,no,----,,,,,"(as of 3/2023) Yes, find info here: https://www.goodinthehood.org/volunteer/",,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,"19-BUS-(2 blocks),CLine-BUS-(2 blocks)",
Bridge For Youth - Emergency Shelter and Cooling Shelter,6/7/2023 10:59am,Lowry Hill,"1111 W 22nd St, Minneapolis, MN 55405",44.9607144,-93.2941124,"The Emergency Shelter is open 24/7/365 for youth (ages 10-17)
For immediate help, text: (612) 400-SAFE or Call: (612) 377-8800

The Bridge for Youth centers youth voice, justice, and equity in all we do, and empowers youth experiencing homelessness through safe shelter, basic needs and healthy relationships. Focused on family reunification when safe and possible, Resilience House provides youth (ages 10-17) with emergency shelter, basic needs, case management, access to healthcare and mental health services, and resources and referrals;  and Gloria’s Place provides pregnant/parenting youth (ages 15-17) and their children (ages 0-3) with emergency shelter, basic needs, case management, access to healthcare and mental health services, and resources and referrals.

Weekly support groups:  So What If I Am (LGBTQ+ youth), Resilient Workshop.  More info at bridgeforyouth.org/outreach-and-support/ 

On bus routes 2, 6, 12, 17, 114",no,----,,no,----,,,"The Bridge for Youth has a Target wish list here: https://www.target.com/gift-registry/giftgiver?registryId=b64931ad711e44db86dbae2f06a52dbb&lnk=registry_custom_url 

Amazon wish list here: https://www.amazon.com/hz/wishlist/ls/2J8LZ6ZO3LQHP/ 

Some current items: diapers, formula (sensitive), hair care products, art supplies, games, tents, sleeping bags.

More lists and details here: https://bridgeforyouth.org/donate/ ","Used clothing, furniture or bedding of any kind.",Yes! Learn more here: https://bridgeforyouth.org/volunteer/,,,,,,,,,,,checked,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,https://bridgeforyouth.org/donate/,,,,,,,checked,,,,,,"6-BUS-(2 blocks),2-BUS-(2 blocks),17-BUS-(3 blocks),114-BUS-(2 blocks)",
C-Spot Neighborhood Pantry (Corcoran Neighborhood Organization),4/3/2024 11:28pm,Corcoran,"3451 Cedar Ave S, Minneapolis, MN 55407",44.9396699,-93.2470588,"Both receiving donations and distributing donations 
Tuesday/Wednesday: 12-3pm
Thursday: 12-4pm

Friday: Appointment only

at the CNO Office or call/text director Alicia Smith to arrange an alternate drop-off time at 612-719-4006",no,----,,no,----,,all donations- the need continues to be great,"water, gatorade, cooking oil, granola bars, fruit snacks (for kids), cereal, pasta noodles (not macaroni), diapers (size 4, 5, 6), baby wipes, bath soap, household cleaning items, personal hygiene items (men & women), laundry detergent, dryer sheets, paper towels, toothpaste, dental floss, toilet paper",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,22-BUS-(1 block),
